40.8909 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
41.6364 	EXP 	fixation: autoDraw = False
41.6364 	EXP 	grating: autoDraw = True
41.6364 	EXP 	grating: tex = 'sin'
41.9363 	EXP 	grating: autoDraw = False
42.1596 	EXP 	window1: recordFrameIntervals = False
42.1619 	DATA 	Keypress: right
42.1714 	EXP 	fixation: autoDraw = False
42.1714 	EXP 	grating: autoDraw = False
42.1715 	EXP 	window1: recordFrameIntervals = True
43.1715 	EXP 	fixation: autoDraw = True
44.1721 	EXP 	grating: autoDraw = True
44.1721 	EXP 	grating: tex = 'sin'
44.1887 	EXP 	fixation: autoDraw = False
44.4888 	EXP 	grating: autoDraw = False
44.6057 	EXP 	window1: recordFrameIntervals = False
44.6078 	DATA 	Keypress: left
44.6228 	EXP 	fixation: autoDraw = False
44.6228 	EXP 	grating: autoDraw = False
44.6229 	EXP 	window1: recordFrameIntervals = True
45.6189 	EXP 	fixation: autoDraw = True
46.6030 	EXP 	grating: autoDraw = True
46.6030 	EXP 	grating: tex = 'sin'
46.6221 	EXP 	fixation: autoDraw = False
46.9032 	EXP 	grating: autoDraw = False
47.0245 	EXP 	window1: recordFrameIntervals = False
47.0268 	DATA 	Keypress: right
47.0389 	EXP 	fixation: autoDraw = False
47.0389 	EXP 	grating: autoDraw = False
47.0390 	EXP 	window1: recordFrameIntervals = True
48.0373 	EXP 	fixation: autoDraw = True
49.0386 	EXP 	fixation: autoDraw = False
49.0386 	EXP 	grating: autoDraw = True
49.0386 	EXP 	grating: tex = 'sin'
49.3552 	EXP 	grating: autoDraw = False
49.5222 	EXP 	window1: recordFrameIntervals = False
49.5242 	DATA 	Keypress: left
49.5389 	EXP 	fixation: autoDraw = False
49.5389 	EXP 	grating: autoDraw = False
49.5390 	EXP 	window1: recordFrameIntervals = True
50.5348 	EXP 	fixation: autoDraw = True
51.5191 	EXP 	grating: autoDraw = True
51.5191 	EXP 	grating: tex = 'sin'
51.5420 	EXP 	fixation: autoDraw = False
51.8197 	EXP 	grating: autoDraw = False
51.9218 	EXP 	window1: recordFrameIntervals = False
51.9239 	DATA 	Keypress: left
51.9396 	EXP 	fixation: autoDraw = False
51.9396 	EXP 	grating: autoDraw = False
51.9397 	EXP 	window1: recordFrameIntervals = True
52.9350 	EXP 	fixation: autoDraw = True
53.9251 	EXP 	grating: autoDraw = True
53.9251 	EXP 	grating: tex = 'sin'
53.9397 	EXP 	fixation: autoDraw = False
54.2401 	EXP 	grating: autoDraw = False
54.4902 	EXP 	window1: recordFrameIntervals = False
54.4917 	DATA 	Keypress: right
54.5062 	EXP 	fixation: autoDraw = False
54.5062 	EXP 	grating: autoDraw = False
54.5062 	EXP 	window1: recordFrameIntervals = True
55.5026 	EXP 	fixation: autoDraw = True
56.4860 	EXP 	grating: autoDraw = True
56.4860 	EXP 	grating: tex = 'sin'
56.5057 	EXP 	fixation: autoDraw = False
56.7864 	EXP 	grating: autoDraw = False
56.9253 	EXP 	window1: recordFrameIntervals = False
56.9276 	DATA 	Keypress: right
56.9363 	EXP 	fixation: autoDraw = False
56.9363 	EXP 	grating: autoDraw = False
56.9365 	EXP 	window1: recordFrameIntervals = True
57.9382 	EXP 	fixation: autoDraw = True
58.9385 	EXP 	grating: autoDraw = True
58.9385 	EXP 	grating: tex = 'sin'
58.9552 	EXP 	fixation: autoDraw = False
59.2556 	EXP 	grating: autoDraw = False
59.2916 	EXP 	window1: recordFrameIntervals = False
59.2939 	DATA 	Keypress: left
59.3059 	EXP 	fixation: autoDraw = False
59.3059 	EXP 	grating: autoDraw = False
59.3060 	EXP 	window1: recordFrameIntervals = True
60.3040 	EXP 	fixation: autoDraw = True
61.3062 	EXP 	fixation: autoDraw = False
61.3062 	EXP 	grating: autoDraw = True
61.3062 	EXP 	grating: tex = 'sin'
61.6223 	EXP 	grating: autoDraw = False
61.7889 	EXP 	window1: recordFrameIntervals = False
61.7913 	DATA 	Keypress: left
61.8059 	EXP 	fixation: autoDraw = False
61.8059 	EXP 	grating: autoDraw = False
61.8060 	EXP 	window1: recordFrameIntervals = True
62.8017 	EXP 	fixation: autoDraw = True
63.7867 	EXP 	grating: autoDraw = True
63.7867 	EXP 	grating: tex = 'sin'
63.8056 	EXP 	fixation: autoDraw = False
64.0868 	EXP 	grating: autoDraw = False
64.3236 	EXP 	window1: recordFrameIntervals = False
64.3256 	DATA 	Keypress: right
64.3368 	EXP 	fixation: autoDraw = False
64.3368 	EXP 	grating: autoDraw = False
64.3369 	EXP 	window1: recordFrameIntervals = True
65.3379 	EXP 	fixation: autoDraw = True
66.3198 	EXP 	grating: autoDraw = True
66.3198 	EXP 	grating: tex = 'sin'
66.3555 	EXP 	fixation: autoDraw = False
66.6201 	EXP 	grating: autoDraw = False
66.7919 	EXP 	window1: recordFrameIntervals = False
66.7935 	DATA 	Keypress: right
66.8059 	EXP 	fixation: autoDraw = False
66.8059 	EXP 	grating: autoDraw = False
66.8060 	EXP 	window1: recordFrameIntervals = True
67.8104 	EXP 	fixation: autoDraw = True
68.8061 	EXP 	grating: autoDraw = True
68.8061 	EXP 	grating: tex = 'sin'
68.8221 	EXP 	fixation: autoDraw = False
69.1222 	EXP 	grating: autoDraw = False
69.2247 	EXP 	window1: recordFrameIntervals = False
69.2268 	DATA 	Keypress: right
69.2369 	EXP 	fixation: autoDraw = False
69.2369 	EXP 	grating: autoDraw = False
69.2370 	EXP 	window1: recordFrameIntervals = True
70.2368 	EXP 	fixation: autoDraw = True
71.2401 	EXP 	fixation: autoDraw = False
71.2401 	EXP 	grating: autoDraw = True
71.2401 	EXP 	grating: tex = 'sin'
71.5560 	EXP 	grating: autoDraw = False
71.7421 	EXP 	window1: recordFrameIntervals = False
71.7443 	DATA 	Keypress: right
71.7564 	EXP 	fixation: autoDraw = False
71.7564 	EXP 	grating: autoDraw = False
71.7565 	EXP 	window1: recordFrameIntervals = True
72.7545 	EXP 	fixation: autoDraw = True
73.7562 	EXP 	fixation: autoDraw = False
73.7562 	EXP 	grating: autoDraw = True
73.7562 	EXP 	grating: tex = 'sin'
74.0732 	EXP 	grating: autoDraw = False
74.2406 	EXP 	window1: recordFrameIntervals = False
74.2428 	DATA 	Keypress: right
74.2554 	EXP 	fixation: autoDraw = False
74.2554 	EXP 	grating: autoDraw = False
74.2555 	EXP 	window1: recordFrameIntervals = True
75.2545 	EXP 	fixation: autoDraw = True
76.6762 	EXP 	fixation: autoDraw = False
76.6762 	EXP 	grating: autoDraw = True
76.6762 	EXP 	grating: tex = 'sin'
76.9897 	EXP 	grating: autoDraw = False
77.1561 	EXP 	window1: recordFrameIntervals = False
77.1580 	DATA 	Keypress: left
77.1722 	EXP 	fixation: autoDraw = False
77.1722 	EXP 	grating: autoDraw = False
77.1723 	EXP 	window1: recordFrameIntervals = True
78.1697 	EXP 	fixation: autoDraw = True
79.1541 	EXP 	grating: autoDraw = True
79.1541 	EXP 	grating: tex = 'sin'
79.1736 	EXP 	fixation: autoDraw = False
79.4540 	EXP 	grating: autoDraw = False
79.5919 	EXP 	window1: recordFrameIntervals = False
79.5941 	DATA 	Keypress: left
79.6038 	EXP 	fixation: autoDraw = False
79.6038 	EXP 	grating: autoDraw = False
79.6039 	EXP 	window1: recordFrameIntervals = True
80.6048 	EXP 	fixation: autoDraw = True
81.6039 	EXP 	fixation: autoDraw = False
81.6039 	EXP 	grating: autoDraw = True
81.6039 	EXP 	grating: tex = 'sin'
81.9039 	EXP 	grating: autoDraw = False
82.0555 	EXP 	window1: recordFrameIntervals = False
82.0575 	DATA 	Keypress: left
82.0733 	EXP 	fixation: autoDraw = False
82.0733 	EXP 	grating: autoDraw = False
82.0734 	EXP 	window1: recordFrameIntervals = True
83.0687 	EXP 	fixation: autoDraw = True
84.0539 	EXP 	grating: autoDraw = True
84.0539 	EXP 	grating: tex = 'sin'
84.0731 	EXP 	fixation: autoDraw = False
84.3540 	EXP 	grating: autoDraw = False
84.4564 	EXP 	window1: recordFrameIntervals = False
84.4587 	DATA 	Keypress: left
84.4732 	EXP 	fixation: autoDraw = False
84.4732 	EXP 	grating: autoDraw = False
84.4733 	EXP 	window1: recordFrameIntervals = True
85.4689 	EXP 	fixation: autoDraw = True
86.4536 	EXP 	grating: autoDraw = True
86.4536 	EXP 	grating: tex = 'sin'
86.4736 	EXP 	fixation: autoDraw = False
86.7544 	EXP 	grating: autoDraw = False
86.7934 	EXP 	window1: recordFrameIntervals = False
86.7949 	DATA 	Keypress: right
86.8043 	EXP 	fixation: autoDraw = False
86.8043 	EXP 	grating: autoDraw = False
86.8044 	EXP 	window1: recordFrameIntervals = True
87.8057 	EXP 	fixation: autoDraw = True
88.8065 	EXP 	grating: autoDraw = True
88.8065 	EXP 	grating: tex = 'sin'
88.8233 	EXP 	fixation: autoDraw = False
89.1232 	EXP 	grating: autoDraw = False
89.1599 	EXP 	window1: recordFrameIntervals = False
89.1621 	DATA 	Keypress: right
89.1731 	EXP 	fixation: autoDraw = False
89.1731 	EXP 	grating: autoDraw = False
89.1732 	EXP 	window1: recordFrameIntervals = True
90.1773 	EXP 	fixation: autoDraw = True
91.1733 	EXP 	grating: autoDraw = True
91.1733 	EXP 	grating: tex = 'sin'
91.1900 	EXP 	fixation: autoDraw = False
91.4898 	EXP 	grating: autoDraw = False
91.5250 	EXP 	window1: recordFrameIntervals = False
91.5270 	DATA 	Keypress: left
91.5402 	EXP 	fixation: autoDraw = False
91.5402 	EXP 	grating: autoDraw = False
91.5403 	EXP 	window1: recordFrameIntervals = True
92.5373 	EXP 	fixation: autoDraw = True
93.5208 	EXP 	grating: autoDraw = True
93.5208 	EXP 	grating: tex = 'sin'
93.5403 	EXP 	fixation: autoDraw = False
93.8209 	EXP 	grating: autoDraw = False
93.9081 	EXP 	window1: recordFrameIntervals = False
93.9102 	DATA 	Keypress: right
93.9207 	EXP 	fixation: autoDraw = False
93.9207 	EXP 	grating: autoDraw = False
93.9208 	EXP 	window1: recordFrameIntervals = True
94.9223 	EXP 	fixation: autoDraw = True
95.9041 	EXP 	grating: autoDraw = True
95.9041 	EXP 	grating: tex = 'sin'
95.9395 	EXP 	fixation: autoDraw = False
96.2043 	EXP 	grating: autoDraw = False
96.2418 	EXP 	window1: recordFrameIntervals = False
96.2439 	DATA 	Keypress: left
96.2541 	EXP 	fixation: autoDraw = False
96.2541 	EXP 	grating: autoDraw = False
96.2542 	EXP 	window1: recordFrameIntervals = True
97.2542 	EXP 	fixation: autoDraw = True
98.2571 	EXP 	fixation: autoDraw = False
98.2571 	EXP 	grating: autoDraw = True
98.2571 	EXP 	grating: tex = 'sin'
98.5733 	EXP 	grating: autoDraw = False
98.8091 	EXP 	window1: recordFrameIntervals = False
98.8115 	DATA 	Keypress: left
98.8235 	EXP 	fixation: autoDraw = False
98.8235 	EXP 	grating: autoDraw = False
98.8236 	EXP 	window1: recordFrameIntervals = True
99.8219 	EXP 	fixation: autoDraw = True
100.8226 	EXP 	fixation: autoDraw = False
100.8226 	EXP 	grating: autoDraw = True
100.8226 	EXP 	grating: tex = 'sin'
101.1398 	EXP 	grating: autoDraw = False
101.2767 	EXP 	window1: recordFrameIntervals = False
101.2789 	DATA 	Keypress: left
101.2896 	EXP 	fixation: autoDraw = False
101.2896 	EXP 	grating: autoDraw = False
101.2897 	EXP 	window1: recordFrameIntervals = True
102.2895 	EXP 	fixation: autoDraw = True
103.2901 	EXP 	grating: autoDraw = True
103.2901 	EXP 	grating: tex = 'sin'
103.3063 	EXP 	fixation: autoDraw = False
103.6067 	EXP 	grating: autoDraw = False
103.7089 	EXP 	window1: recordFrameIntervals = False
103.7110 	DATA 	Keypress: left
103.7210 	EXP 	fixation: autoDraw = False
103.7210 	EXP 	grating: autoDraw = False
103.7211 	EXP 	window1: recordFrameIntervals = True
104.7213 	EXP 	fixation: autoDraw = True
105.7239 	EXP 	fixation: autoDraw = False
105.7239 	EXP 	grating: autoDraw = True
105.7239 	EXP 	grating: tex = 'sin'
106.0399 	EXP 	grating: autoDraw = False
106.1777 	EXP 	window1: recordFrameIntervals = False
106.1798 	DATA 	Keypress: right
106.1896 	EXP 	fixation: autoDraw = False
106.1896 	EXP 	grating: autoDraw = False
106.1897 	EXP 	window1: recordFrameIntervals = True
107.1911 	EXP 	fixation: autoDraw = True
108.1905 	EXP 	grating: autoDraw = True
108.1905 	EXP 	grating: tex = 'sin'
108.2064 	EXP 	fixation: autoDraw = False
108.5071 	EXP 	grating: autoDraw = False
108.6458 	EXP 	window1: recordFrameIntervals = False
108.6480 	DATA 	Keypress: right
108.6562 	EXP 	fixation: autoDraw = False
108.6562 	EXP 	grating: autoDraw = False
108.6563 	EXP 	window1: recordFrameIntervals = True
109.6586 	EXP 	fixation: autoDraw = True
110.6572 	EXP 	grating: autoDraw = True
110.6572 	EXP 	grating: tex = 'sin'
110.6734 	EXP 	fixation: autoDraw = False
110.9730 	EXP 	grating: autoDraw = False
111.0094 	EXP 	window1: recordFrameIntervals = False
111.0117 	DATA 	Keypress: left
111.0231 	EXP 	fixation: autoDraw = False
111.0231 	EXP 	grating: autoDraw = False
111.0233 	EXP 	window1: recordFrameIntervals = True
112.0218 	EXP 	fixation: autoDraw = True
113.0240 	EXP 	fixation: autoDraw = False
113.0240 	EXP 	grating: autoDraw = True
113.0240 	EXP 	grating: tex = 'sin'
113.3397 	EXP 	grating: autoDraw = False
113.4917 	EXP 	window1: recordFrameIntervals = False
113.4938 	DATA 	Keypress: left
113.5048 	EXP 	fixation: autoDraw = False
113.5048 	EXP 	grating: autoDraw = False
113.5049 	EXP 	window1: recordFrameIntervals = True
114.5058 	EXP 	fixation: autoDraw = True
